config_id,budget,performance,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma,agent.rnd_hidden_size,agent.rnd_lr,agent.rnd_output_size,agent.rnd_reward_weight,agent.rnd_update_freq
79,35000.0,0.07193152454780362,32,28648,32,0.00023690938,158,25879,0.0935149852086,0.9658998413718,32,0.0005228787289,8,0.0020565994425,129
80,105000.0,0.04361088020689018,32,29787,32,0.0002616261664,122,20677,0.0624430577164,0.9647667598976,32,0.0005755054802,8,0.0021699679837,215
81,105000.0,0.04330632716049383,32,16854,32,0.0001025179904,595,27833,0.0314307897275,0.9662644664166,64,0.0002968318315,8,0.0013111137217,486
82,105000.0,0.7855281207133059,64,93337,64,0.0005845162946,885,118964,0.2666592117167,0.9873792365307,64,0.0005653167131,32,0.0051545660457,258
83,105000.0,0.0489463601532567,32,80915,32,0.0002345343507,126,23364,0.0134495702283,0.9648566641171,32,0.0003300344771,8,0.0712801887878,185
84,35000.0,0.06428062678062678,32,39590,32,0.0002527981518,127,20151,0.1444785645409,0.9590763094713,32,0.0001427137898,8,0.0012454058166,196
85,35000.0,0.06374007936507937,32,35502,32,0.0002675747689,205,25115,0.0275928930809,0.9652787792304,32,0.0006257146722,8,0.0017636077737,506
86,35000.0,0.6856150793650794,64,91263,64,0.0007400925983,327,42234,0.1545557435854,0.9956159153747,64,0.0003372459343,16,0.0013855734391,845
87,105000.0,0.04181732580037664,32,39053,64,0.0002345343507,135,23175,0.0237463014908,0.9641467576993,32,0.0003300344771,16,0.1095494838422,185
88,105000.0,1.0,32,15734,64,0.000232779813,333,28943,0.0274865225417,0.9638692589336,32,0.0001601807565,32,0.2881074391214,102
89,35000.0,0.11414141414141415,32,15228,64,0.0001565026155,345,41779,0.0221540115846,0.9508596877477,32,0.0006035956425,16,0.3562261011459,174
90,35000.0,0.05467351237493418,32,19585,64,0.0002364469455,122,21123,0.0242597617143,0.9616222274836,32,0.0008365945882,32,0.0135293719051,100
91,35000.0,0.0695436507936508,32,20492,64,0.0002380305389,106,28341,0.0165643114145,0.9579113107837,32,0.0002112789798,32,0.0131095509787,464
92,105000.0,0.8340277777777778,32,35502,32,0.0002675747689,205,25115,0.0275928930809,0.9652787792304,32,0.0006257146722,8,0.0017636077737,506
93,105000.0,0.8970349563046193,128,57186,64,0.0002387664503,810,106127,0.2270666253337,0.9914636456443,64,0.0005877034667,16,0.0040622189749,884
94,105000.0,1.0,32,23372,64,0.0007431248556,142,26541,0.0194717070718,0.9569603768519,32,0.0002419247085,32,0.5860306986762,796
95,35000.0,0.935,32,38438,64,0.0003064021755,658,140921,0.2798150074917,0.9852482583972,64,0.0005108969838,16,0.0035461858677,316
96,35000.0,0.9930000000000001,32,31611,64,0.0002352612341,272,21919,0.016916093324,0.9614531158287,32,0.0004334806369,32,0.0041129738377,691
97,35000.0,0.87609126984127,32,70485,64,0.00022332067,135,25022,0.0240300945054,0.963057319577,32,0.0002907951738,32,0.1224938674582,353
98,105000.0,0.04185778820258883,32,10773,64,0.0001100567577,206,21702,0.0116336328126,0.9627451877585,32,0.0001756284996,32,0.0055428147778,107
99,105000.0,0.04157734204793029,32,52071,32,0.0002579203511,172,21793,0.0209265761655,0.9604591932735,64,0.0009082851591,16,0.0956223519494,443
