steps,rewards,epsilon
19806,0.8325,0.23488
20043,0.4075,0.23145
20057,0.965,0.23125
20070,0.9675,0.23107
20094,0.94,0.23073
20112,0.955,0.23047
20145,0.9175,0.23
20162,0.9575,0.22976
20182,0.95,0.22948
20197,0.9625,0.22927
20224,0.9325,0.22889
20237,0.9675,0.2287
20255,0.955,0.22845
20285,0.925,0.22803
20295,0.975,0.22789
20311,0.96,0.22767
20334,0.9425,0.22735
20345,0.9725,0.22719
20355,0.975,0.22705
20373,0.955,0.2268
20395,0.945,0.2265
20410,0.9625,0.22629
20435,0.9375,0.22595
20445,0.975,0.22581
20471,0.935,0.22545
20481,0.975,0.22531
20498,0.9575,0.22508
20511,0.9675,0.2249
20535,0.94,0.22457
20545,0.975,0.22443
20560,0.9625,0.22423
20571,0.9725,0.22408
20597,0.935,0.22372
20618,0.9475,0.22344
20631,0.9675,0.22326
20647,0.96,0.22304
20671,0.94,0.22272
20701,0.925,0.22231
20761,0.85,0.22151
20806,0.8875,0.2209
20828,0.945,0.22061
20857,0.9275,0.22022
20908,0.8725,0.21954
20923,0.9625,0.21935
20940,0.9575,0.21912
20964,0.94,0.2188
20983,0.9525,0.21855
20999,0.96,0.21834
21014,0.9625,0.21815
21026,0.97,0.21799
21046,0.95,0.21773
21063,0.9575,0.2175
21076,0.9675,0.21733
21087,0.9725,0.21719
21105,0.955,0.21695
21117,0.97,0.2168
21129,0.97,0.21664
21141,0.97,0.21649
21163,0.945,0.2162
21185,0.945,0.21592
21202,0.9575,0.2157
21215,0.9675,0.21553
21233,0.955,0.2153
21245,0.97,0.21514
21261,0.96,0.21494
21272,0.9725,0.21479
21287,0.9625,0.2146
21299,0.97,0.21445
21310,0.9725,0.21431
21322,0.97,0.21415
21339,0.9575,0.21394
21354,0.9625,0.21374
21368,0.965,0.21357
21382,0.965,0.21339
21398,0.96,0.21318
21408,0.975,0.21306
21427,0.9525,0.21282
21439,0.97,0.21266
21449,0.975,0.21254
21462,0.9675,0.21237
21477,0.9625,0.21218
21493,0.96,0.21198
21504,0.9725,0.21184
21517,0.9675,0.21168
21527,0.975,0.21155
21538,0.9725,0.21142
21554,0.96,0.21122
21567,0.9675,0.21105
21579,0.97,0.2109
21589,0.975,0.21078
21603,0.965,0.2106
21616,0.9675,0.21044
21631,0.9625,0.21025
21645,0.965,0.21008
21656,0.9725,0.20994
21670,0.965,0.20977
21683,0.9675,0.20961
21693,0.975,0.20948
21717,0.94,0.20919
21728,0.9725,0.20905
21742,0.965,0.20888
21754,0.97,0.20873
21766,0.97,0.20858
21778,0.97,0.20844
21788,0.975,0.20831
21809,0.9475,0.20805
21824,0.9625,0.20787
21838,0.965,0.2077
21848,0.975,0.20758
21865,0.9575,0.20737
21886,0.9475,0.20711
21900,0.965,0.20694
21914,0.965,0.20677
21930,0.96,0.20658
21943,0.9675,0.20642
21956,0.9675,0.20626
21969,0.9675,0.20611
21982,0.9675,0.20595
21995,0.9675,0.20579
22005,0.975,0.20567
22020,0.9625,0.20549
22035,0.9625,0.20531
22055,0.95,0.20507
22073,0.955,0.20485
22087,0.965,0.20469
22103,0.96,0.2045
22113,0.975,0.20438
22123,0.975,0.20426
22136,0.9675,0.2041
22154,0.955,0.20389
22164,0.975,0.20377
22182,0.955,0.20356
22194,0.97,0.20341
22207,0.9675,0.20326
22221,0.965,0.20309
22233,0.97,0.20295
22247,0.965,0.20279
22265,0.955,0.20257
22279,0.965,0.20241
22291,0.97,0.20227
22302,0.9725,0.20214
22312,0.975,0.20202
22323,0.9725,0.20189
22341,0.955,0.20168
22352,0.9725,0.20155
22365,0.9675,0.2014
22375,0.975,0.20128
22388,0.9675,0.20113
22402,0.965,0.20097
22422,0.95,0.20074
22436,0.965,0.20057
22454,0.955,0.20036
22464,0.975,0.20025
22475,0.9725,0.20012
22492,0.9575,0.19992
22508,0.96,0.19974
22524,0.96,0.19956
22539,0.9625,0.19938
22553,0.965,0.19922
22577,0.94,0.19895
22590,0.9675,0.1988
22602,0.97,0.19866
22620,0.955,0.19845
22635,0.9625,0.19828
22657,0.945,0.19803
22673,0.96,0.19785
22687,0.965,0.19769
22699,0.97,0.19755
22710,0.9725,0.19743
22728,0.955,0.19723
22741,0.9675,0.19708
22753,0.97,0.19694
22769,0.96,0.19676
22779,0.975,0.19665
22795,0.96,0.19647
22808,0.9675,0.19632
22819,0.9725,0.1962
22836,0.9575,0.19601
22846,0.975,0.1959
22862,0.96,0.19572
22884,0.945,0.19547
22896,0.97,0.19534
22908,0.97,0.1952
22918,0.975,0.19509
22928,0.975,0.19498
22940,0.97,0.19485
22956,0.96,0.19467
22966,0.975,0.19456
22982,0.96,0.19438
22992,0.975,0.19427
23006,0.965,0.19412
23016,0.975,0.19401
23028,0.97,0.19387
23040,0.97,0.19374
23057,0.9575,0.19355
23073,0.96,0.19338
23086,0.9675,0.19324
23103,0.9575,0.19305
23116,0.9675,0.19291
23127,0.9725,0.19279
23138,0.9725,0.19267
23148,0.975,0.19256
23162,0.965,0.19241
23172,0.975,0.1923
23186,0.965,0.19214
23198,0.97,0.19201
23210,0.97,0.19188
23226,0.96,0.19171
23240,0.965,0.19156
23265,0.9375,0.19129
23276,0.9725,0.19117
23289,0.9675,0.19103
23303,0.965,0.19088
23317,0.965,0.19073
23360,0.8925,0.19027
23377,0.9575,0.19008
23389,0.97,0.18995
23472,0.7925,0.18907
23489,0.9575,0.18889
23520,0.9225,0.18856
23546,0.935,0.18829
23599,0.8675,0.18773
23615,0.96,0.18756
23628,0.9675,0.18743
23641,0.9675,0.18729
23651,0.975,0.18719
23685,0.915,0.18683
23709,0.94,0.18658
23780,0.8225,0.18585
23831,0.8725,0.18532
23877,0.885,0.18485
23910,0.9175,0.18451
23923,0.9675,0.18438
23938,0.9625,0.18423
23965,0.9325,0.18395
23999,0.915,0.18361
24045,0.885,0.18314
24105,0.85,0.18254
24118,0.9675,0.18241
24136,0.955,0.18222
24148,0.97,0.1821
24163,0.9625,0.18195
24197,0.915,0.18162
24212,0.9625,0.18147
24572,0.0,0.17794
24587,0.9625,0.17779
24607,0.95,0.1776
24626,0.9525,0.17742
24652,0.935,0.17717
24666,0.965,0.17704
24678,0.97,0.17692
24700,0.945,0.17671
24712,0.97,0.1766
24727,0.9625,0.17645
24748,0.9475,0.17626
24776,0.93,0.17599
24799,0.9425,0.17577
24829,0.925,0.17549
24851,0.945,0.17528
24862,0.9725,0.17518
24873,0.9725,0.17507
24885,0.97,0.17496
24895,0.975,0.17487
24914,0.9525,0.17469
24939,0.9375,0.17446
24968,0.9275,0.17419
24981,0.9675,0.17406
24992,0.9725,0.17396
25005,0.9675,0.17384
25019,0.965,0.17371
25055,0.91,0.17338
25069,0.965,0.17325
25081,0.97,0.17314
25110,0.9275,0.17287
25141,0.9225,0.17259
25153,0.97,0.17248
25171,0.955,0.17231
25181,0.975,0.17222
25195,0.965,0.17209
25207,0.97,0.17198
25219,0.97,0.17187
25231,0.97,0.17176
25245,0.965,0.17164
25256,0.9725,0.17154
25271,0.9625,0.1714
25281,0.975,0.17131
25291,0.975,0.17122
25301,0.975,0.17113
25316,0.9625,0.17099
25327,0.9725,0.17089
25339,0.97,0.17078
25350,0.9725,0.17068
25361,0.9725,0.17059
25394,0.9175,0.17029
25416,0.945,0.17009
25427,0.9725,0.16999
25438,0.9725,0.16989
25448,0.975,0.1698
25461,0.9675,0.16969
25477,0.96,0.16955
25509,0.92,0.16926
25522,0.9675,0.16915
25554,0.92,0.16886
25601,0.8825,0.16845
25639,0.905,0.16811
25660,0.9475,0.16793
25671,0.9725,0.16783
25702,0.9225,0.16756
25752,0.875,0.16712
25763,0.9725,0.16703
25775,0.97,0.16692
25794,0.9525,0.16676
25808,0.965,0.16664
25822,0.965,0.16652
25835,0.9675,0.1664
25847,0.97,0.1663
25859,0.97,0.1662
25870,0.9725,0.1661
25880,0.975,0.16602
25893,0.9675,0.1659
25906,0.9675,0.16579
25922,0.96,0.16565
25933,0.9725,0.16556
25950,0.9575,0.16541
25962,0.97,0.16531
25978,0.96,0.16518
25989,0.9725,0.16508
25999,0.975,0.165
26019,0.95,0.16483
26033,0.965,0.16471
26045,0.97,0.16461
26060,0.9625,0.16448
26074,0.965,0.16436
26085,0.9725,0.16427
26095,0.975,0.16418
26105,0.975,0.1641
26119,0.965,0.16398
26132,0.9675,0.16387
26144,0.97,0.16377
26157,0.9675,0.16366
26167,0.975,0.16358
26178,0.9725,0.16348
26198,0.95,0.16332
26210,0.97,0.16322
26222,0.97,0.16311
26233,0.9725,0.16302
26245,0.97,0.16292
26261,0.96,0.16279
26272,0.9725,0.1627
26282,0.975,0.16261
26304,0.945,0.16243
26316,0.97,0.16233
26327,0.9725,0.16224
26337,0.975,0.16216
26350,0.9675,0.16205
26362,0.97,0.16195
26374,0.97,0.16185
26387,0.9675,0.16175
26404,0.9575,0.16161
26414,0.975,0.16152
26425,0.9725,0.16143
26437,0.97,0.16133
26448,0.9725,0.16124
26459,0.9725,0.16115
26472,0.9675,0.16105
26484,0.97,0.16095
26501,0.9575,0.16081
26512,0.9725,0.16072
26525,0.9675,0.16062
26536,0.9725,0.16053
26546,0.975,0.16045
26557,0.9725,0.16036
26568,0.9725,0.16027
26581,0.9675,0.16016
26595,0.965,0.16005
26609,0.965,0.15993
26619,0.975,0.15985
26634,0.9625,0.15973
26644,0.975,0.15965
26654,0.975,0.15957
26665,0.9725,0.15948
26683,0.955,0.15934
26697,0.965,0.15923
26709,0.97,0.15913
26719,0.975,0.15905
26731,0.97,0.15895
26744,0.9675,0.15885
26756,0.97,0.15875
26768,0.97,0.15866
26778,0.975,0.15858
26788,0.975,0.1585
26801,0.9675,0.1584
26812,0.9725,0.15831
26824,0.97,0.15821
26852,0.93,0.15799
26867,0.9625,0.15787
26879,0.97,0.15778
26898,0.9525,0.15763
26908,0.975,0.15755
26920,0.97,0.15746
26930,0.975,0.15738
26942,0.97,0.15728
26953,0.9725,0.1572
26972,0.9525,0.15705
26982,0.975,0.15697
26997,0.9625,0.15685
27009,0.97,0.15676
27024,0.9625,0.15664
27036,0.97,0.15655
27055,0.9525,0.1564
27068,0.9675,0.1563
27078,0.975,0.15622
27092,0.965,0.15611
27107,0.9625,0.156
27121,0.965,0.15589
27132,0.9725,0.1558
27144,0.97,0.15571
27155,0.9725,0.15563
27165,0.975,0.15555
27177,0.97,0.15546
27196,0.9525,0.15531
27209,0.9675,0.15521
27221,0.97,0.15512
27234,0.9675,0.15502
27244,0.975,0.15494
27259,0.9625,0.15483
27271,0.97,0.15474
27284,0.9675,0.15464
27296,0.97,0.15455
27308,0.97,0.15445
27318,0.975,0.15438
27328,0.975,0.1543
27340,0.97,0.15421
27352,0.97,0.15412
27362,0.975,0.15404
27376,0.965,0.15394
27387,0.9725,0.15386
27401,0.965,0.15375
27416,0.9625,0.15364
27426,0.975,0.15356
27438,0.97,0.15347
27452,0.965,0.15337
27463,0.9725,0.15328
27473,0.975,0.15321
27487,0.965,0.1531
27506,0.9525,0.15296
27522,0.96,0.15284
27537,0.9625,0.15273
27551,0.965,0.15263
27562,0.9725,0.15254
27572,0.975,0.15247
27584,0.97,0.15238
27598,0.965,0.15228
27611,0.9675,0.15218
27623,0.97,0.15209
27633,0.975,0.15202
27645,0.97,0.15193
27659,0.965,0.15183
27669,0.975,0.15175
27682,0.9675,0.15166
27698,0.96,0.15154
27708,0.975,0.15147
27719,0.9725,0.15138
27730,0.9725,0.1513
27751,0.9475,0.15115
27761,0.975,0.15108
27776,0.9625,0.15097
27788,0.97,0.15088
27805,0.9575,0.15076
27816,0.9725,0.15068
27827,0.9725,0.1506
27838,0.9725,0.15052
27849,0.9725,0.15044
27859,0.975,0.15036
27869,0.975,0.15029
27881,0.97,0.1502
27894,0.9675,0.15011
27910,0.96,0.14999
27924,0.965,0.14989
27934,0.975,0.14982
27944,0.975,0.14975
27957,0.9675,0.14966
